﻿id,place_name,category_name,phone,road_address_name,x,y,place_url,distance
7819490,대우부대찌개,"음식점 > 한식 > 찌개,전골",02-552-1663,서울 강남구 테헤란로25길 34,127.0352174,37.50269666,http://place.map.kakao.com/7819490,348
21960500,일품헌 역삼점,음식점 > 샤브샤브,02-574-7117,서울 강남구 언주로93길 30,127.0396284,37.50334849,http://place.map.kakao.com/21960500,50
1511737742,돝고기506,"음식점 > 한식 > 육류,고기 > 삼겹살",02-6933-9506,서울 강남구 테헤란로 145,127.0352843,37.50064505,http://place.map.kakao.com/1511737742,451
25155819,파크루안 역삼점,음식점 > 중식,02-562-5565,서울 강남구 논현로 430,127.0385167,37.4989979,http://place.map.kakao.com/25155819,489
14569639,이도곰탕 본점,음식점 > 한식 > 곰탕,,서울 강남구 논현로94길 29-5,127.0384612,37.5033732,http://place.map.kakao.com/14569639,53
12026995,지아니스나폴리 역삼점,음식점 > 양식 > 이탈리안,02-566-0501,서울 강남구 논현로94길 15,127.0375561,37.50267071,http://place.map.kakao.com/12026995,155
13112670,진대감 역삼점,"음식점 > 한식 > 육류,고기",02-552-2472,서울 강남구 봉은사로30길 75,127.0371988,37.5027465,http://place.map.kakao.com/13112670,179
20895830,봉우리 역삼본점,음식점 > 한식 > 한정식,02-564-8551,서울 강남구 논현로94길 25-3,127.0381942,37.50309938,http://place.map.kakao.com/20895830,83
887468501,츄라우미 역삼본점,"음식점 > 일식 > 초밥,롤",02-558-7771,서울 강남구 언주로93길 21,127.040325,37.50333654,http://place.map.kakao.com/887468501,111
7891890,별양집,"음식점 > 한식 > 육류,고기 > 곱창,막창",0502-5551-8742,서울 강남구 테헤란로43길 17,127.0435737,37.50435442,http://place.map.kakao.com/7891890,413
1469510606,빌즈 강남,음식점 > 양식,02-568-1353,서울 강남구 테헤란로 142,127.0349536,37.49974504,http://place.map.kakao.com/1469510606,543
23999472,불이야 역삼점,음식점 > 중식,02-556-6689,서울 강남구 논현로 514,127.0365433,37.50257795,http://place.map.kakao.com/23999472,240
25968685,꽃새우영번지 역삼점,"음식점 > 한식 > 해물,생선",02-501-2050,서울 강남구 언주로 536,127.0413716,37.50619417,http://place.map.kakao.com/25968685,372
458881498,김양,음식점 > 중식 > 양꼬치,02-556-5945,서울 강남구 논현로94길 24,127.0383795,37.50268486,http://place.map.kakao.com/458881498,98
1353935275,하몽하몽이베리코 역삼점,"음식점 > 한식 > 육류,고기 > 삼겹살",02-3482-8892,서울 강남구 언주로93길 25,127.0400943,37.5032357,http://place.map.kakao.com/1353935275,92
16906836,옛날농장,음식점 > 한식,02-3452-2566,서울 강남구 테헤란로33길 11,127.0392615,37.50251158,http://place.map.kakao.com/16906836,98
27480112,바게트케이,"음식점 > 간식 > 제과,베이커리",02-567-9501,서울 강남구 테헤란로34길 21-10,127.0414452,37.50029436,http://place.map.kakao.com/27480112,402
2142723351,해담채 강남점,음식점 > 한식 > 한정식,02-558-4997,서울 강남구 논현로85길 70,127.0324218,37.49777526,http://place.map.kakao.com/2142723351,855
7815078,대가방 본점,음식점 > 중식 > 중국요리,02-544-6336,서울 강남구 봉은사로 333,127.0429293,37.51070224,http://place.map.kakao.com/7815078,880
14921036,두레국수,음식점 > 한식 > 국수,02-552-7456,서울 강남구 언주로98길 14,127.042823,37.50485656,http://place.map.kakao.com/14921036,370
16767854,호또치킨 강남본점,음식점 > 치킨,02-555-0611,서울 강남구 언주로93길 32-3,127.0392077,37.50340179,http://place.map.kakao.com/16767854,12
24909032,진가와 한국본점,음식점 > 일식,02-564-8553,서울 강남구 논현로94길 25-3,127.038124,37.50299309,http://place.map.kakao.com/24909032,93
844552938,라비옥,"음식점 > 한식 > 육류,고기 > 갈비",02-538-8592,서울 강남구 테헤란로25길 42,127.0349327,37.50334186,http://place.map.kakao.com/844552938,365
2106991405,방이편백육분삼십 역삼점,"음식점 > 한식 > 육류,고기",070-8777-1120,서울 강남구 테헤란로29길 5,127.0387229,37.50196755,http://place.map.kakao.com/2106991405,160
49084717,우진가더챔버스 역삼점,"음식점 > 한식 > 육류,고기",02-568-4234,서울 강남구 테헤란로27길 28,127.0375881,37.50321851,http://place.map.kakao.com/49084717,131
27315759,갈비삼대,"음식점 > 한식 > 육류,고기 > 갈비",02-2269-9292,서울 강남구 언주로93길 32-6,127.0393345,37.50362159,http://place.map.kakao.com/27315759,35
1897959308,미로정 본점,"음식점 > 한식 > 찌개,전골",02-566-0016,서울 강남구 테헤란로33길 19,127.0389361,37.50313158,http://place.map.kakao.com/1897959308,30
16297490,고갯마루,"음식점 > 한식 > 육류,고기 > 닭요리",02-534-6765,서울 강남구 테헤란로28길 27,127.0394363,37.49940124,http://place.map.kakao.com/16297490,443
1316753706,신라스테이 역삼 카페,음식점 > 뷔페,02-2054-9107,서울 강남구 언주로 517,127.0413143,37.5048661,http://place.map.kakao.com/1316753706,258
1053910065,대파집 역삼본점,"음식점 > 한식 > 육류,고기 > 삼겹살",02-562-4088,서울 강남구 논현로94길 28,127.0385695,37.50276409,http://place.map.kakao.com/1053910065,81
2011092566,두껍삼 역삼직영점,"음식점 > 한식 > 육류,고기 > 삼겹살",1670-3592,서울 강남구 테헤란로8길 17,127.0320001,37.49784565,http://place.map.kakao.com/2011092566,876
7857136,마노디셰프 강남점,음식점 > 양식 > 이탈리안,02-553-5311,서울 강남구 테헤란로 129,127.0323718,37.49987011,http://place.map.kakao.com/7857136,708
2130015705,비진도해물뚝배기,"음식점 > 한식 > 해물,생선",02-568-2867,서울 강남구 논현로85길 25,127.0358396,37.49871033,http://place.map.kakao.com/2130015705,592
387631786,창고43 역삼점,"음식점 > 한식 > 육류,고기",02-501-4343,서울 강남구 테헤란로 306,127.0441065,37.50258555,http://place.map.kakao.com/387631786,454
7983060,신동궁감자탕뼈숯불구이 역삼직영점,음식점 > 한식 > 감자탕,,서울 강남구 테헤란로10길 21,127.0329082,37.49788595,http://place.map.kakao.com/7983060,817
21155020,강남보물섬,"음식점 > 한식 > 해물,생선 > 회",02-566-3563,서울 강남구 테헤란로20길 11-1,127.0347135,37.49903151,http://place.map.kakao.com/21155020,617
27227336,백수산,"음식점 > 한식 > 해물,생선 > 회",02-6012-8516,서울 강남구 언주로93길 31,127.0395468,37.50304488,http://place.map.kakao.com/27227336,57
27296186,요술포차 역삼점,"음식점 > 술집 > 호프,요리주점",02-564-9939,서울 강남구 테헤란로19길 5,127.0335324,37.50040769,http://place.map.kakao.com/27296186,590
334332881,트라가 역삼본점,음식점 > 양식,02-564-0608,서울 강남구 테헤란로25길 46,127.0348558,37.50347523,http://place.map.kakao.com/334332881,372
27440874,상황버섯 약수삼계탕,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",02-548-8835,서울 강남구 봉은사로30길 64,127.0365296,37.50338102,http://place.map.kakao.com/27440874,224
25744174,수담한정식,음식점 > 한식 > 한정식,02-558-4900,서울 강남구 봉은사로 418,127.045939,37.5106038,http://place.map.kakao.com/25744174,1005
8735236,강남목장,"음식점 > 한식 > 육류,고기",02-562-7003,서울 강남구 논현로86길 34,127.0402997,37.5004272,http://place.map.kakao.com/8735236,346
26607625,문어랑 상록점,"음식점 > 한식 > 해물,생선",02-508-7701,서울 강남구 봉은사로44길 64,127.04257,37.50544771,http://place.map.kakao.com/26607625,385
150287781,봄날,음식점 > 한식,02-555-9277,서울 강남구 테헤란로27길 25,127.0373889,37.50298161,http://place.map.kakao.com/150287781,154
170118016,복돈이가마솥순대국,음식점 > 한식 > 순대,02-501-0777,서울 강남구 테헤란로37길 22,127.0405243,37.50366083,http://place.map.kakao.com/170118016,132
